AUC,Mean Deletion Errors for each Pixel
17.61262909426956,"[0.         0.03285671 0.08824055 0.12925467 0.17580859 0.19981803
 0.22779267 0.25432823 0.2933952  0.31520954 0.35423727 0.3288613
 0.36711776 0.33212541 0.33695622 0.35231727 0.35471596 0.3729449
 0.38132977 0.4077651  0.37411738 0.36483465 0.41257328 0.41652196
 0.4515419  0.48532593 0.52326189 0.57613102 0.60078667 0.61259298
 0.68033066 0.68707367 0.70356493 0.73035368 0.71859406 0.72527083
 0.7219195  0.7343592  0.72591798 0.71175068 0.70146218]"
14.243445281744053,"[0.         0.03475579 0.08542159 0.14038829 0.16600844 0.22948935
 0.21757555 0.22881821 0.23462965 0.21838737 0.20445984 0.19266255
 0.18984809 0.1827707  0.15126997 0.16200136 0.16496185 0.18618988
 0.19089262 0.2006237  0.20762965 0.20991044 0.23700085 0.25128725
 0.2998737  0.35364669 0.38864284 0.42712518 0.48325977 0.54548428
 0.59173888 0.63955589 0.69645119 0.72933157 0.76586595 0.75861488
 0.76031439 0.76160758 0.71621002 0.6984253  0.6806284 ]"
13.740217163491515,"[0.         0.03116273 0.0797719  0.115571   0.16662722 0.19117489
 0.22314101 0.22398651 0.23964817 0.18759934 0.15392905 0.14860443
 0.14932211 0.15330871 0.15157235 0.14802427 0.14911435 0.15248143
 0.16597019 0.16831919 0.17449314 0.18090548 0.2091348  0.22190444
 0.26435496 0.30784321 0.34227176 0.41921241 0.47278553 0.49789232
 0.5661867  0.68238699 0.74609978 0.79286725 0.79678823 0.76980402
 0.76875788 0.76728171 0.69775964 0.70929903 0.70571811]"
14.372119021176252,"[0.         0.0284518  0.08315605 0.14196402 0.22355777 0.22034556
 0.22592425 0.24212478 0.20836742 0.20143769 0.17782229 0.15809089
 0.15921672 0.16687377 0.17875028 0.2066869  0.20438346 0.21260902
 0.24567426 0.2316156  0.22783184 0.18390108 0.18752432 0.22695588
 0.27796409 0.34396606 0.38761933 0.44154692 0.45389843 0.48827489
 0.58852269 0.59123868 0.71141493 0.72747112 0.79776345 0.8010381
 0.80902377 0.79037275 0.75188811 0.71380555 0.70608902]"
14.44711447874847,"[0.         0.03440425 0.08054476 0.12358352 0.20847338 0.26299488
 0.24581582 0.22698183 0.21371504 0.2187962  0.17643209 0.17766467
 0.16985205 0.18434085 0.20143834 0.21014316 0.24428529 0.24703338
 0.26905951 0.268923   0.22940179 0.21749285 0.19864472 0.19671282
 0.23695779 0.26948253 0.35796751 0.40893317 0.45271566 0.48463043
 0.53679469 0.57610564 0.65916854 0.69280221 0.88505474 0.83615197
 0.82008987 0.80313174 0.74859109 0.72518948 0.69322644]"
14.430399979671904,"[0.         0.0378868  0.07285884 0.12223733 0.13497888 0.1791894
 0.21222684 0.21885788 0.21710981 0.1863932  0.19766639 0.18876557
 0.20534602 0.20065213 0.22280329 0.22497239 0.25335405 0.24093557
 0.2647139  0.25239729 0.25130991 0.21927336 0.21485973 0.19542338
 0.21875239 0.27032799 0.41099617 0.46004837 0.46608846 0.49538173
 0.50995515 0.56865683 0.59925177 0.7501953  0.85719164 0.860517
 0.84682371 0.80017447 0.74760724 0.71774144 0.6729567 ]"
14.433591387260734,"[0.         0.03326999 0.07265062 0.10864773 0.10646597 0.13597518
 0.17888271 0.20986977 0.20992065 0.18240601 0.2131347  0.19447664
 0.19851975 0.20162138 0.22415956 0.23956118 0.24197628 0.2272657
 0.2305864  0.2635006  0.26702964 0.2167585  0.23302609 0.23785949
 0.22368927 0.28613135 0.38489609 0.44262713 0.46066065 0.51771034
 0.54801599 0.59089096 0.62693965 0.74159519 0.84057581 0.84694024
 0.84960383 0.81532247 0.77450343 0.71215982 0.68752925]"
14.844822592862995,"[0.         0.02796937 0.07371161 0.08506454 0.1053505  0.11981621
 0.14197754 0.17710422 0.17165546 0.183201   0.21314654 0.18908242
 0.21416387 0.22856723 0.22161818 0.22819731 0.24069959 0.23452685
 0.23299893 0.26050332 0.27887897 0.23875505 0.24914053 0.26471677
 0.23375384 0.29484955 0.35362042 0.43636038 0.4715256  0.49810586
 0.63343707 0.66574521 0.75041986 0.76437678 0.82766321 0.8999074
 0.86200073 0.85370513 0.81535595 0.75125764 0.70378391]"
14.513627068917799,"[0.         0.03219616 0.06672919 0.07941206 0.09707527 0.09884195
 0.13191249 0.16139286 0.17369775 0.18010377 0.19311655 0.20975301
 0.20919354 0.21115181 0.21559716 0.20845118 0.21470974 0.23349218
 0.22681448 0.25907536 0.26301913 0.26944696 0.2755575  0.25342267
 0.23529688 0.27648288 0.34217079 0.39432649 0.45947852 0.49459517
 0.69403892 0.68290747 0.75793888 0.75369534 0.81595937 0.84329392
 0.83145209 0.81688381 0.78610689 0.71006099 0.70955176]"
14.83228299946737,"[0.         0.03247985 0.0566843  0.07986234 0.10105015 0.09086452
 0.11717968 0.15386421 0.17805595 0.18283747 0.20222267 0.21099558
 0.2115251  0.22063561 0.23136266 0.22882881 0.23111629 0.2500944
 0.21503814 0.27314253 0.27090756 0.28669848 0.30171175 0.261387
 0.24325323 0.28809714 0.32121705 0.4005974  0.46141416 0.5211593
 0.70669783 0.72179593 0.78980966 0.76147857 0.8221226  0.84515985
 0.85033709 0.81464146 0.79196196 0.74772269 0.71254408]"
