AUC,Mean Insertion Errors for each Pixel
7.429876285099757,"[0.68398794 0.66120116 0.67114663 0.59529439 0.55695267 0.46273317
 0.42239567 0.34077132 0.33068174 0.25654584 0.2530708  0.25484937
 0.24308896 0.19744458 0.19455423 0.18823471 0.18377645 0.17164453
 0.14245387 0.1233774  0.10727067 0.08789419 0.08206666 0.06516796
 0.06637917 0.0481882  0.04278511 0.04028821 0.03664394 0.03225588
 0.03762855 0.03458835 0.02616097 0.02811837 0.02371141 0.01673268
 0.01554854 0.01713049 0.01412373 0.0105192  0.00892513]"
8.899914216859967,"[0.69219648 0.67479771 0.65097795 0.59805404 0.59218074 0.51680695
 0.4817359  0.4486103  0.40973561 0.41223748 0.35463034 0.31858306
 0.28604543 0.2612682  0.24159593 0.20325214 0.19226532 0.18693662
 0.15114504 0.16207428 0.16535321 0.1667665  0.15804317 0.14711281
 0.13074384 0.12893726 0.10214704 0.08629953 0.06421455 0.04878009
 0.03705014 0.03085792 0.02918849 0.02578633 0.02341923 0.01808387
 0.01505587 0.01149947 0.00917551 0.00860138 0.00753346]"
9.322951028571234,"[0.67966769 0.68182428 0.63505975 0.62638606 0.58567286 0.59918894
 0.52053101 0.48273833 0.44792381 0.3907902  0.34378173 0.32571331
 0.29395039 0.27555677 0.24486582 0.2126257  0.1880115  0.18778622
 0.19829876 0.18599211 0.17176    0.17199502 0.17319056 0.16268348
 0.15481591 0.13402019 0.12025886 0.0878751  0.07190407 0.05229853
 0.0457479  0.0393288  0.04012287 0.03572804 0.02510609 0.02122499
 0.01395664 0.01037035 0.01129294 0.00881509 0.00784839]"
9.652852253124475,"[0.73546745 0.71655683 0.67682656 0.67249091 0.61200275 0.58964799
 0.55005454 0.45830337 0.43401297 0.40947555 0.37676492 0.31155873
 0.29317275 0.2560798  0.2253648  0.23021804 0.21578162 0.20625719
 0.19901872 0.20674851 0.19581892 0.18365338 0.16776195 0.14695959
 0.14796072 0.14311751 0.13691658 0.10985305 0.08600294 0.05928716
 0.05466894 0.04447773 0.04083813 0.03120953 0.02547762 0.01997351
 0.01442362 0.01401163 0.00969466 0.00870747 0.00793464]"
8.570833753887328,"[0.69983883 0.71136292 0.70223594 0.66594533 0.56947299 0.5192284
 0.46737416 0.42438843 0.36566291 0.31872454 0.28543324 0.25475045
 0.24903064 0.20688741 0.19968157 0.18198459 0.15150243 0.14452257
 0.1506014  0.16630797 0.14878845 0.16644595 0.13341946 0.14959151
 0.13910311 0.11726472 0.10696211 0.09971386 0.08898338 0.07281857
 0.05435634 0.03852615 0.03800571 0.03737011 0.02723462 0.02074091
 0.01325763 0.01094355 0.01124487 0.0075091  0.00707257]"
8.212222794264996,"[0.69505483 0.69000768 0.69977688 0.6857556  0.58347339 0.54407721
 0.4715942  0.3787977  0.3455692  0.31043555 0.28038637 0.24027629
 0.22085291 0.17089722 0.16525625 0.14524299 0.12316297 0.11002138
 0.1186455  0.12363891 0.14112329 0.14552343 0.15496725 0.1538717
 0.12693507 0.11478607 0.09907314 0.09802961 0.08041214 0.06825943
 0.0578638  0.03830422 0.03247416 0.03178746 0.03226877 0.02566013
 0.01822362 0.01332359 0.01094691 0.0092724  0.00744197]"
7.911110081906809,"[0.67657217 0.66765887 0.71258926 0.67203078 0.63576001 0.53126128
 0.43185404 0.39185662 0.35938602 0.30432936 0.27005081 0.22627068
 0.18769349 0.1588254  0.11378082 0.10115825 0.100165   0.10323192
 0.09545066 0.10214461 0.13505859 0.14604264 0.14684299 0.1493417
 0.11616846 0.11682436 0.10868176 0.08504866 0.08237143 0.05725813
 0.04362985 0.03610454 0.03157573 0.02982522 0.03424196 0.03029322
 0.02094359 0.01411516 0.00998477 0.00880996 0.00832681]"
8.0500521290325,"[0.69110348 0.68923779 0.64211681 0.68117781 0.60806026 0.58749802
 0.53554662 0.4072751  0.36764103 0.32978809 0.26292078 0.23311784
 0.19002962 0.14321559 0.11759674 0.12296587 0.10584193 0.10413965
 0.10854632 0.11931988 0.11843223 0.13573074 0.13486464 0.13833552
 0.12861691 0.11084198 0.10746038 0.08561224 0.0831397  0.05399994
 0.03240907 0.02662165 0.02700559 0.03243071 0.03246211 0.0342254
 0.02268484 0.01593762 0.01166234 0.01187102 0.00824004]"
8.255755910888182,"[0.70078818 0.68079185 0.67493962 0.67392089 0.6327127  0.6063456
 0.53138288 0.49576059 0.36642259 0.3264417  0.29413001 0.22620858
 0.19555544 0.13588563 0.12153127 0.11840008 0.10971059 0.11032951
 0.11167848 0.12269498 0.11409691 0.12927295 0.15002274 0.12943207
 0.13402798 0.11771144 0.11477697 0.09664989 0.0830913  0.04815764
 0.02727655 0.03034507 0.02701429 0.03153883 0.03549426 0.03373743
 0.02507139 0.01684615 0.0121347  0.01049995 0.00664065]"
8.401230828281848,"[0.69906679 0.69987283 0.68324737 0.6910187  0.63798208 0.60177296
 0.53896136 0.50770983 0.36885683 0.33248609 0.29143617 0.24661259
 0.1799069  0.13924327 0.13890716 0.11793741 0.10355362 0.12103001
 0.1184999  0.1235844  0.12104244 0.12618907 0.13889424 0.12643678
 0.14337083 0.1186304  0.10483779 0.10037423 0.08674229 0.04371361
 0.03241183 0.03527556 0.03641526 0.03730191 0.03726173 0.0414251
 0.02802076 0.02172069 0.0138984  0.01088781 0.00845444]"
8.363071134005644,"[0.71523749 0.68064849 0.68022584 0.7040341  0.64938063 0.61176319
 0.52149053 0.49002762 0.37677088 0.34068061 0.2705373  0.23888456
 0.18302032 0.14421997 0.13252427 0.11668428 0.13245565 0.11847993
 0.11073038 0.12642328 0.12436218 0.13130003 0.12854785 0.13642091
 0.15666761 0.10897446 0.10771486 0.09677565 0.07425687 0.04555692
 0.02954818 0.03333972 0.03093307 0.02849786 0.0369615  0.03564034
 0.02566728 0.01900935 0.01060886 0.01024197 0.01089016]"
