AUC,Mean Deletion Errors for each Frame
51.099260544759275,"[0.         0.28707996 0.52980879 0.63995667 0.66767598 0.710104
 0.71436359 0.72825566 0.68840177 0.6622042  0.63001436 0.60545378
 0.55800696 0.5176721  0.47907002 0.45153229 0.4252754  0.39630717
 0.40004245 0.38853393 0.37032394 0.35529652 0.34902309 0.34707667
 0.32692616 0.32598716 0.31613637 0.30413892 0.30924741 0.29525874
 0.30446451 0.30363566 0.28467973 0.29138321 0.29584324 0.27669288
 0.29729553 0.31506587 0.33735017 0.35117607 0.34392307 0.35042378
 0.35001987 0.35865712 0.37382791 0.38357275 0.39148977 0.41166275
 0.40137438 0.41741564 0.43505724 0.44057647 0.4377323  0.44814605
 0.45124092 0.45577489 0.47578412 0.4845839  0.46261609 0.47204736
 0.47789987 0.46217919 0.49124659 0.48066118 0.48583088 0.50044085
 0.49509852 0.50579771 0.52572784 0.5155362  0.52466963 0.53581746
 0.54334675 0.54388651 0.55697973 0.55223662 0.55186367 0.55787877
 0.56448648 0.57606739 0.57188725 0.5975832  0.57216167 0.58151831
 0.58491248 0.59447734 0.60501674 0.61235586 0.61588816 0.64194142
 0.6130197  0.63898464 0.64065381 0.64667165 0.64770481 0.6329623
 0.64416763 0.65270736 0.6540204  0.65551453 0.67001785 0.66481316
 0.67313921 0.70122986 0.71114406]"
53.31823697542759,"[0.         0.32489499 0.49101885 0.5925537  0.67893774 0.70765884
 0.68913549 0.69669508 0.69544787 0.65717419 0.62566415 0.56599177
 0.56156706 0.51543638 0.48808289 0.44412    0.42685124 0.40450574
 0.38387534 0.3663311  0.36971129 0.34647924 0.34642127 0.35283585
 0.35448285 0.34489739 0.32382372 0.33395783 0.31232335 0.33233038
 0.31194533 0.31455285 0.31144016 0.29671788 0.28532314 0.31147315
 0.30110443 0.30651065 0.322848   0.3233742  0.32579333 0.36439377
 0.3726052  0.37697532 0.40357756 0.43011015 0.44361456 0.45301632
 0.45200339 0.49075354 0.48371471 0.48266945 0.50791888 0.50491116
 0.51553092 0.53920764 0.52602615 0.52166251 0.54298364 0.55602151
 0.54867561 0.55313307 0.55739609 0.57228423 0.56144169 0.5589967
 0.55766395 0.55625747 0.57046703 0.58691026 0.58464752 0.58810393
 0.59780795 0.5914579  0.58164673 0.6049767  0.59245815 0.58995347
 0.59355704 0.60774486 0.60382372 0.61826635 0.61427611 0.60665692
 0.60409931 0.60746879 0.61157381 0.61087594 0.6051898  0.62347743
 0.63072052 0.63414181 0.64141969 0.64155986 0.6556243  0.64076351
 0.65233224 0.66529598 0.66277039 0.65215643 0.66176296 0.67420483
 0.68858188 0.69203881 0.70318031]"
54.26781511754504,"[0.         0.17965728 0.3208421  0.46998423 0.4812016  0.55419362
 0.58732418 0.61328246 0.59107659 0.57962217 0.53776882 0.52002978
 0.47819347 0.48447484 0.42521131 0.41836971 0.39349867 0.37021146
 0.35253295 0.34784703 0.33942448 0.31297834 0.3076847  0.31275488
 0.31404457 0.3055929  0.30776106 0.30671737 0.3064211  0.3132974
 0.30843176 0.30374097 0.3012774  0.29817936 0.30146561 0.29986373
 0.28774852 0.2873082  0.27803044 0.30643202 0.32032312 0.31793091
 0.34344958 0.36439344 0.39208378 0.39599967 0.42749166 0.46037545
 0.48183371 0.50115583 0.52223064 0.54605284 0.56115083 0.5678209
 0.58103775 0.59108106 0.59324164 0.59959199 0.61090692 0.62650977
 0.62480301 0.62600933 0.63191193 0.63340769 0.62145226 0.64770129
 0.64926005 0.62076748 0.63644199 0.64602414 0.6390864  0.64999311
 0.64561755 0.65025446 0.65424335 0.64904503 0.66113023 0.64091615
 0.66789323 0.66815657 0.68387634 0.67042059 0.66985968 0.68329323
 0.67461009 0.67033607 0.66490576 0.68236553 0.6857871  0.67852721
 0.69369068 0.67325569 0.6929248  0.68718442 0.69293168 0.67548738
 0.68928723 0.69258072 0.69831897 0.71314811 0.68754535 0.6937308
 0.68869835 0.70066311 0.70226489]"
52.878171364580396,"[0.         0.06326567 0.26830836 0.33314093 0.41752437 0.46623562
 0.48650044 0.50990001 0.53941571 0.52219866 0.48555722 0.48088677
 0.45662999 0.45048012 0.42759695 0.41860752 0.3808877  0.36765343
 0.35040444 0.33149837 0.32569386 0.29155955 0.30275304 0.27619722
 0.27094024 0.28707359 0.27352265 0.27431207 0.26544434 0.28051679
 0.2585063  0.26858877 0.25817865 0.27733031 0.28100188 0.26935243
 0.27223238 0.27917421 0.27486613 0.28187466 0.28234334 0.30975527
 0.31142235 0.32266115 0.34650105 0.3589421  0.38471675 0.41944331
 0.45831121 0.49202745 0.52352534 0.5449057  0.57678213 0.60999205
 0.60144012 0.59418536 0.62001662 0.61543355 0.61713837 0.63948202
 0.63796809 0.63624071 0.61826206 0.65388155 0.63411778 0.65006573
 0.65647478 0.63789643 0.65129086 0.65002535 0.64374993 0.65909884
 0.64730308 0.65337504 0.65688217 0.64997904 0.6624724  0.66412646
 0.66232431 0.67644615 0.66884868 0.67083746 0.6799982  0.6889833
 0.67693211 0.70349375 0.69676229 0.68607363 0.66746652 0.68037779
 0.68279539 0.69029185 0.69381836 0.70542837 0.69311931 0.69907717
 0.68740712 0.69005083 0.70000966 0.70734986 0.70910701 0.70089673
 0.69057582 0.70046541 0.70237473]"
52.3665775609183,"[0.         0.07415096 0.16590946 0.29546274 0.33066921 0.39343221
 0.4609888  0.49374013 0.48270673 0.48196669 0.48537461 0.50223323
 0.46604299 0.46190187 0.42625511 0.42675661 0.39338442 0.37321091
 0.37586181 0.33837175 0.32876931 0.30792103 0.27450473 0.26542429
 0.25262011 0.26018701 0.25733736 0.25736675 0.24130643 0.2483723
 0.24956962 0.25080178 0.24309216 0.24853035 0.25532766 0.25221627
 0.23789523 0.25929948 0.26728043 0.26969611 0.27863316 0.2834872
 0.28884615 0.31309543 0.32493227 0.3375016  0.36127155 0.37988616
 0.41274178 0.4523925  0.46535421 0.51860206 0.56335743 0.60589158
 0.58501287 0.59902898 0.6341125  0.64233413 0.64002736 0.64163758
 0.6559067  0.66388478 0.66055065 0.65208963 0.6529273  0.63946458
 0.65372099 0.65703339 0.67756076 0.65217699 0.65882425 0.66392792
 0.66067289 0.66805325 0.6570205  0.66546767 0.67425319 0.67775092
 0.67160173 0.67984901 0.67665178 0.6821102  0.69993909 0.67270823
 0.70826213 0.6876534  0.68972293 0.70581176 0.71078035 0.70298052
 0.6917546  0.70048261 0.70065754 0.70054406 0.68715928 0.71193623
 0.71743296 0.71998247 0.70170436 0.70500101 0.69303104 0.70558865
 0.70289264 0.70745555 0.71502382]"
50.969829764932136,"[0.         0.07973055 0.1658775  0.23617127 0.3368391  0.37608516
 0.43562423 0.44582323 0.4639612  0.4469802  0.43418152 0.43411651
 0.41834961 0.402845   0.38912401 0.37319158 0.36162445 0.32381386
 0.31194755 0.29537134 0.28647137 0.26173761 0.23723953 0.22322911
 0.21834992 0.21270064 0.21941112 0.21436088 0.22419743 0.22215313
 0.2293729  0.21932147 0.21079762 0.2218279  0.22486559 0.2167274
 0.22771757 0.23650263 0.24713199 0.25054797 0.25855317 0.27055796
 0.28923552 0.28447989 0.31811015 0.31813252 0.35373414 0.380011
 0.40257083 0.42233398 0.46242028 0.4905168  0.53973515 0.56674725
 0.60567012 0.5983214  0.61863138 0.62468968 0.61774426 0.6322398
 0.64601045 0.65757611 0.65073573 0.64369051 0.65525537 0.66453898
 0.66733483 0.66306454 0.66732451 0.67319364 0.67032412 0.68348297
 0.6727315  0.68014618 0.67177388 0.69106756 0.69433972 0.6901421
 0.69085826 0.6984917  0.67916238 0.68245513 0.68131544 0.69100014
 0.69171865 0.68969106 0.69129878 0.69143072 0.70760577 0.70249764
 0.70067152 0.72612078 0.69563404 0.7347385  0.71687754 0.6963317
 0.70574596 0.70368815 0.70280294 0.70214097 0.69696571 0.70861482
 0.69611471 0.70157289 0.70158856]"
50.77692272064802,"[0.         0.07846623 0.14077187 0.22883696 0.2972063  0.35781205
 0.42337357 0.43274521 0.44013053 0.43471086 0.42553363 0.41319503
 0.40924638 0.3862182  0.35768623 0.34551694 0.31698339 0.30397708
 0.26494479 0.25049908 0.24097127 0.22933461 0.20566385 0.20867985
 0.1901398  0.19239793 0.19377641 0.19352578 0.1955872  0.18956016
 0.20046181 0.20511467 0.22143923 0.22061951 0.21511308 0.2173775
 0.22385349 0.22142575 0.2404375  0.24463499 0.26364775 0.26125116
 0.2870074  0.29212268 0.31991197 0.32612342 0.3534886  0.36793964
 0.39246354 0.44146549 0.47439115 0.48234049 0.5176186  0.55682085
 0.59575838 0.60492721 0.62664737 0.63046122 0.65009408 0.66394854
 0.65077568 0.68543073 0.68339504 0.68434122 0.6696847  0.66457596
 0.69580784 0.69620144 0.68223928 0.6839635  0.70519981 0.7084491
 0.68080773 0.698072   0.68832292 0.69911859 0.69563297 0.70167818
 0.70843541 0.70992092 0.70813892 0.70527474 0.68854522 0.6992663
 0.7055087  0.70979224 0.70909948 0.71938031 0.71021221 0.71358911
 0.70067747 0.69246931 0.69941825 0.71982153 0.70992156 0.70272601
 0.72709985 0.70528915 0.70117285 0.70717801 0.71196955 0.71738643
 0.71542642 0.68471674 0.70878228]"
51.10465426624232,"[0.         0.05935988 0.10962293 0.19404322 0.30739644 0.33812027
 0.37717498 0.39385657 0.40198953 0.40519827 0.40546842 0.38463772
 0.37162065 0.37239274 0.3631611  0.3374275  0.31411909 0.29723065
 0.27913225 0.26061437 0.24355247 0.22579253 0.21908013 0.20590142
 0.20465182 0.20457735 0.21038868 0.19887302 0.21663457 0.21338679
 0.21035174 0.21307669 0.21315551 0.21300454 0.22432057 0.22588178
 0.23139976 0.22703911 0.24553468 0.23417906 0.25170446 0.27244429
 0.27359284 0.30556599 0.31416273 0.34282689 0.35426393 0.37854583
 0.4189351  0.41684656 0.46485796 0.49442278 0.52107364 0.5648566
 0.58973912 0.62868868 0.65517199 0.66158128 0.67484444 0.67127236
 0.67663649 0.67875909 0.69313137 0.68875881 0.69549863 0.7047605
 0.68717431 0.68313968 0.70022755 0.69994099 0.69673055 0.71499105
 0.7190309  0.71976155 0.71294224 0.72807628 0.73251388 0.70483899
 0.73262256 0.72976739 0.74767408 0.72152734 0.72182604 0.73220961
 0.70985534 0.69932267 0.70291509 0.71042993 0.7173316  0.72012278
 0.68774538 0.70493639 0.70616319 0.73530872 0.70513157 0.69963409
 0.70718663 0.71304852 0.7078435  0.6976857  0.68418683 0.69709741
 0.70885588 0.69915597 0.71882177]"
50.55073039638327,"[0.         0.06737914 0.14118651 0.23814044 0.27366193 0.34318633
 0.37043158 0.4009696  0.41387092 0.42584642 0.3968135  0.4034184
 0.3721063  0.36000725 0.33957721 0.32481579 0.31135522 0.28208702
 0.25364025 0.2399836  0.24858873 0.21301517 0.20286113 0.20522642
 0.19829275 0.20393718 0.22011117 0.21699215 0.21623711 0.22240579
 0.21680331 0.20945707 0.21536846 0.2156901  0.23153258 0.22656341
 0.23296783 0.25047818 0.24492174 0.26026813 0.26280302 0.26416741
 0.29894247 0.314309   0.32409178 0.34176879 0.37612764 0.3833187
 0.41284824 0.45691584 0.46622672 0.49647746 0.53382757 0.56320944
 0.58644808 0.61969027 0.64479788 0.67208885 0.66988449 0.68540064
 0.69101772 0.68760874 0.68411952 0.69356611 0.69790074 0.704948
 0.68537838 0.67713135 0.68006916 0.68336887 0.68257198 0.69417711
 0.69986508 0.68524686 0.6922144  0.7032396  0.70520745 0.69059273
 0.71386108 0.71345037 0.70807551 0.69369869 0.68924572 0.68288512
 0.69470956 0.69689161 0.68193693 0.68131528 0.6917929  0.68589165
 0.68141415 0.69061315 0.68781043 0.68207456 0.6752777  0.68755471
 0.68949996 0.68591731 0.68060108 0.70550791 0.69274153 0.69759573
 0.69973678 0.6920636  0.69360699]"
50.181146774000545,"[0.         0.05292086 0.11718781 0.14643101 0.215408   0.2896449
 0.33764688 0.35938091 0.38805925 0.39745292 0.38123355 0.38089157
 0.37088454 0.33955065 0.32715502 0.30221258 0.28163631 0.27329769
 0.26214884 0.23145926 0.22610817 0.21223341 0.21007718 0.19564728
 0.20820426 0.2038602  0.22130178 0.22114649 0.23051621 0.23892039
 0.23357441 0.23618787 0.22560631 0.23607619 0.22739289 0.24000214
 0.24179156 0.25569699 0.25770917 0.26555752 0.27013644 0.2888373
 0.2943622  0.3211077  0.35067443 0.3639783  0.40254957 0.41539138
 0.42702006 0.46993717 0.49248195 0.53671921 0.54727859 0.57055315
 0.60872821 0.60984896 0.63972813 0.65897674 0.64945515 0.67422603
 0.67569187 0.68373672 0.68267966 0.67232596 0.68692807 0.69002071
 0.68150344 0.68330109 0.68927673 0.69056183 0.69150479 0.67631759
 0.6893205  0.68336002 0.66801292 0.67249421 0.69335556 0.6866142
 0.68511561 0.68506412 0.67906346 0.6853184  0.68966339 0.69203618
 0.69455746 0.68883371 0.69811442 0.68732773 0.71504325 0.70423427
 0.67305994 0.69601173 0.69533084 0.68700864 0.6702493  0.68936551
 0.67955731 0.69185368 0.68901459 0.70337221 0.67369318 0.68283877
 0.68157856 0.68877276 0.68771642]"
