AUC,Mean Insertion Errors for each Frame
30.895588768903774,"[0.69874145 0.73882814 0.79874103 0.8479094  0.87802311 0.93237997
 0.95343483 0.9710436  0.96522795 0.9616908  0.93460096 0.88442363
 0.89535197 0.83585551 0.82623119 0.82697125 0.79354014 0.76219221
 0.75635188 0.73206396 0.74216248 0.71396274 0.70150728 0.69800028
 0.67817483 0.66420891 0.63117844 0.58526415 0.57787606 0.54930732
 0.5038192  0.49892416 0.43571322 0.38543713 0.33071287 0.32501627
 0.31696336 0.27444835 0.25136769 0.22543459 0.20328891 0.19555466
 0.18686374 0.16477382 0.15876178 0.15170868 0.14863502 0.13040729
 0.12782256 0.11751442 0.11182044 0.11402471 0.11635101 0.10131562
 0.10582633 0.08830325 0.08590231 0.08341678 0.08354548 0.08163429
 0.07505085 0.08093433 0.07509922 0.07458322 0.0715482  0.06227828
 0.05625965 0.05899255 0.05366336 0.05002491 0.04981511 0.04979005
 0.04253785 0.04599742 0.04693548 0.04283401 0.03792289 0.04055875
 0.03911199 0.03833188 0.03502771 0.03477996 0.03657469 0.03342732
 0.03284566 0.02800166 0.02225472 0.01908058 0.02014031 0.02268043
 0.02047388 0.02061552 0.01943946 0.01965195 0.0194287  0.01649182
 0.0151936  0.01976722 0.0171001  0.01318525 0.01088527 0.00938476
 0.01222005 0.00941131 0.00814838]"
29.70183555135447,"[0.69525854 0.71945542 0.76040065 0.78501283 0.84234689 0.88903498
 0.93478385 0.94001731 0.94938599 0.92482408 0.91582273 0.87110317
 0.84949025 0.84274393 0.82884501 0.7805793  0.75787754 0.75637674
 0.77028595 0.7299562  0.70105472 0.67165317 0.6667332  0.64898206
 0.64168213 0.62657991 0.60220684 0.57734469 0.57779589 0.55167399
 0.57748627 0.55801647 0.49484328 0.45487756 0.4042817  0.38008996
 0.3465643  0.30739978 0.25185327 0.22571801 0.18903238 0.16395517
 0.14065628 0.12804244 0.11466922 0.09219429 0.08926031 0.08672586
 0.0833308  0.08023583 0.07552153 0.07676034 0.06705597 0.0713859
 0.07277572 0.06218849 0.05893167 0.06149571 0.0620218  0.05583822
 0.054349   0.05122325 0.05598537 0.05186589 0.05015487 0.04896991
 0.04887201 0.05532823 0.05126975 0.03763819 0.04041204 0.03650907
 0.03692451 0.03566    0.04253177 0.03798976 0.03749431 0.03661805
 0.03769068 0.03046045 0.02990033 0.02947962 0.02911534 0.02994835
 0.02731176 0.02772108 0.03016989 0.02553425 0.02698381 0.02357753
 0.02225552 0.02350701 0.02132556 0.0196844  0.01947955 0.01906756
 0.01795243 0.01798175 0.01769777 0.0146897  0.01515117 0.01432341
 0.01402702 0.00887849 0.00647586]"
28.621236789039827,"[0.7047784  0.73843124 0.77655653 0.77849298 0.83266881 0.87043498
 0.90907917 0.90979751 0.92109994 0.89835617 0.89942695 0.91090508
 0.85399785 0.84012065 0.82333323 0.82521238 0.77358386 0.74419261
 0.730579   0.73434208 0.70697063 0.67960206 0.66541769 0.65487703
 0.64056123 0.62610606 0.60319849 0.56068411 0.56727655 0.57373681
 0.58618454 0.6023141  0.5699471  0.50598012 0.47489729 0.44290737
 0.39597988 0.34758422 0.31068081 0.25930844 0.21475645 0.18700061
 0.14713328 0.11676368 0.10603663 0.07437666 0.06987263 0.05421156
 0.04290779 0.03510296 0.03384318 0.02659282 0.02663676 0.02347402
 0.02508128 0.01728413 0.02078556 0.01674332 0.01069141 0.01390783
 0.01411096 0.01251187 0.01342924 0.01248333 0.01465803 0.01146095
 0.01062008 0.01265514 0.01222656 0.01062054 0.00881579 0.00851291
 0.00911123 0.01255366 0.01088525 0.01058569 0.00897579 0.0112257
 0.01000962 0.0101602  0.01041689 0.01015697 0.00719365 0.00904012
 0.0114333  0.00936163 0.01037858 0.00921814 0.0080317  0.01249221
 0.00937245 0.01059293 0.00972597 0.0108661  0.00918317 0.01005263
 0.01053406 0.0088687  0.00711485 0.00875921 0.01076852 0.00789664
 0.00767201 0.01193554 0.00828198]"
28.56934894113644,"[0.71135605 0.74419499 0.77892887 0.81352693 0.84673544 0.85794279
 0.88335616 0.88905778 0.8803203  0.88598447 0.88451423 0.86842058
 0.83964698 0.8183382  0.80370626 0.77719442 0.75732791 0.73722336
 0.72927288 0.70507204 0.67447261 0.68834858 0.66301528 0.64352454
 0.63143222 0.60380261 0.59719933 0.58619901 0.54197851 0.57556829
 0.54162778 0.54432647 0.55999709 0.50973724 0.49560824 0.45265488
 0.41615955 0.38042528 0.33088893 0.30700696 0.25759041 0.22420207
 0.19705175 0.16027043 0.12494219 0.10439031 0.08026011 0.06570409
 0.05397585 0.04023043 0.03375437 0.02883411 0.02861414 0.02155366
 0.01803539 0.02040202 0.01791078 0.01702338 0.01566771 0.01518554
 0.01462598 0.01288747 0.012459   0.01212671 0.01435082 0.01285257
 0.01249872 0.01105343 0.01363051 0.01204446 0.0099083  0.01149338
 0.01051489 0.01155344 0.00889151 0.00954145 0.00803502 0.01184314
 0.01064946 0.0106984  0.00840878 0.00912864 0.01073417 0.00778208
 0.00968989 0.00952725 0.00851232 0.00815359 0.00770737 0.0099626
 0.00745698 0.00716648 0.00930335 0.0087375  0.00935188 0.00639213
 0.00768101 0.008775   0.00869383 0.00924974 0.01141227 0.00845924
 0.00823083 0.00754009 0.00723699]"
27.598994997774838,"[0.70987979 0.70996451 0.76923213 0.8252225  0.82814149 0.84392366
 0.84507764 0.82330477 0.83839501 0.83214674 0.82637019 0.81230275
 0.78520696 0.77770649 0.75617822 0.72770574 0.72370998 0.68951412
 0.67433254 0.66615447 0.65626223 0.61914089 0.60620187 0.59671688
 0.5918265  0.57310609 0.55558554 0.55846466 0.54490659 0.5320327
 0.52516012 0.51096996 0.52591827 0.50525048 0.45592095 0.42750963
 0.40758723 0.36559335 0.35157004 0.32301705 0.28450333 0.2543652
 0.22259358 0.18919595 0.16392587 0.13750804 0.11416791 0.09361872
 0.07132031 0.05326617 0.04337514 0.04112484 0.02849366 0.02125615
 0.01801612 0.0184501  0.01829798 0.01809581 0.01600898 0.01091162
 0.01448752 0.0162205  0.01254596 0.01368203 0.01411374 0.01254934
 0.01197867 0.01051231 0.00930829 0.01233353 0.01131984 0.01032221
 0.00824673 0.00923051 0.00926294 0.00841614 0.01102826 0.00802651
 0.00988136 0.00726158 0.00840884 0.01022448 0.00948438 0.01046714
 0.01180462 0.0095037  0.01045793 0.00854671 0.00885607 0.00882556
 0.01033106 0.00770814 0.00793576 0.00944949 0.00781114 0.00686691
 0.00861313 0.00785133 0.00867721 0.00976618 0.00698544 0.00980464
 0.00612315 0.00883278 0.00832982]"
26.952457136823163,"[0.69263146 0.73010234 0.77384765 0.7854815  0.85000822 0.83838811
 0.84346748 0.83789458 0.84665268 0.8134564  0.81197491 0.79844807
 0.75587841 0.73514964 0.71323507 0.71195981 0.68714977 0.67784956
 0.66471462 0.63502574 0.62842407 0.60330042 0.60236985 0.57625765
 0.5920398  0.56497668 0.52948441 0.52782588 0.52230615 0.52420724
 0.49369161 0.4988955  0.5156122  0.48085656 0.45227944 0.41525399
 0.4022374  0.37508786 0.34029156 0.3215599  0.27599777 0.24015921
 0.21421933 0.17983707 0.15907363 0.14339471 0.11178134 0.09479187
 0.08072036 0.06217304 0.04687841 0.04036845 0.02657588 0.02353715
 0.0145044  0.01162335 0.01299064 0.01112958 0.0100404  0.00910622
 0.01123776 0.00969933 0.00922293 0.01079893 0.00888052 0.008683
 0.00786611 0.0093769  0.00827427 0.00757095 0.00673754 0.0092357
 0.00717275 0.00875741 0.00741993 0.0072442  0.00872446 0.01002139
 0.00722063 0.0079495  0.00595659 0.00548106 0.00714827 0.00965077
 0.00706664 0.00766003 0.00788942 0.00785353 0.00786873 0.00775483
 0.00864749 0.00819191 0.0082159  0.0076608  0.00914165 0.00829665
 0.00694571 0.00733633 0.00698775 0.00700241 0.0052184  0.00856179
 0.00696115 0.00925923 0.00948922]"
26.99289293578174,"[0.70186236 0.73096048 0.77639425 0.80638458 0.82835702 0.84349732
 0.85505657 0.81664092 0.80900773 0.8337432  0.78723635 0.78715119
 0.78949199 0.74892185 0.71172071 0.71198605 0.66168099 0.66393068
 0.64938405 0.62650816 0.6211604  0.60899611 0.6130019  0.59283506
 0.5785237  0.57041375 0.56830168 0.54810679 0.53340963 0.51795717
 0.52823441 0.5380631  0.51577479 0.4872964  0.44434906 0.40813594
 0.38868796 0.35133615 0.3315626  0.28673744 0.26674355 0.23380496
 0.21453225 0.18836425 0.16204036 0.14234843 0.12418886 0.10398684
 0.0861127  0.07331786 0.05608571 0.04325441 0.03328642 0.02307592
 0.01621911 0.00875697 0.01094661 0.00938246 0.0104012  0.00911155
 0.00883433 0.00885189 0.00956864 0.00968386 0.00985431 0.0094598
 0.00888231 0.00669936 0.00960028 0.00797283 0.00722664 0.00720838
 0.00635957 0.00866692 0.00775462 0.00899823 0.00731257 0.00780111
 0.00708225 0.00758141 0.00840034 0.00860188 0.0067048  0.00870231
 0.00846366 0.00809211 0.00869224 0.00741122 0.00719125 0.00839431
 0.00752647 0.0072353  0.00812575 0.00817578 0.00791965 0.00827908
 0.00648392 0.00766076 0.00825015 0.00626527 0.00850038 0.00627721
 0.00616491 0.00864914 0.00699207]"
26.18708759484583,"[0.71162743 0.75143204 0.79495921 0.81851806 0.82192518 0.83626567
 0.84567211 0.84147881 0.81669192 0.78672447 0.7930693  0.7849545
 0.76439123 0.72080394 0.69741276 0.67230855 0.65632508 0.62437723
 0.60838707 0.59921679 0.593381   0.5851219  0.57824202 0.57519671
 0.55680596 0.5481047  0.53600363 0.52603923 0.50188445 0.51375179
 0.51748742 0.49419894 0.47202156 0.43325679 0.40601255 0.38220414
 0.36586546 0.33743233 0.31115777 0.2864934  0.25456454 0.22320552
 0.20811964 0.17976309 0.15488359 0.12924541 0.11130256 0.08995398
 0.07133806 0.06886437 0.05509295 0.04230455 0.03293851 0.02554804
 0.01631081 0.01038362 0.00705276 0.00851617 0.00989839 0.00745425
 0.01087827 0.00820033 0.00658861 0.00689483 0.00933364 0.00891733
 0.00947508 0.00815794 0.00819025 0.0069462  0.00918757 0.00865704
 0.00849282 0.00917042 0.00899066 0.0073886  0.00694116 0.00770869
 0.00752078 0.01177201 0.00853427 0.00714688 0.00813853 0.00739113
 0.01039125 0.0077222  0.00679815 0.0074773  0.01018436 0.00794429
 0.00848319 0.00761681 0.0083074  0.00888889 0.00937728 0.00733844
 0.00974283 0.00688805 0.00731526 0.00716688 0.00835195 0.00877269
 0.00817218 0.00787393 0.00704209]"
24.605359225419633,"[0.67510922 0.69742713 0.74968529 0.81505569 0.7987365  0.79818627
 0.80419994 0.79812489 0.77131672 0.75135742 0.75135344 0.71010131
 0.69934774 0.65917981 0.64508027 0.62206653 0.60633817 0.57537653
 0.5675885  0.55979448 0.55190332 0.55370348 0.53215099 0.53591852
 0.52925162 0.50790181 0.50676966 0.50311826 0.49532105 0.50196982
 0.48220704 0.44077783 0.43114459 0.40025757 0.37958424 0.36025342
 0.32666299 0.30369041 0.28103331 0.25572753 0.2292667  0.21338682
 0.18287482 0.16392648 0.15227254 0.12179038 0.10505135 0.10396821
 0.08161134 0.06186949 0.06002867 0.04115045 0.03637374 0.02575129
 0.01583111 0.01363378 0.01124467 0.00949755 0.00808175 0.01032244
 0.00881408 0.00856162 0.00756808 0.00824841 0.00983538 0.00641071
 0.0098386  0.00757122 0.00811351 0.00689821 0.00814948 0.00731795
 0.00764128 0.00683415 0.00721074 0.00741443 0.00804208 0.00769761
 0.00866943 0.00858004 0.00884081 0.00638961 0.0081052  0.0083493
 0.00819456 0.01143993 0.00837933 0.00866068 0.00802819 0.00589724
 0.00924379 0.00890698 0.00630191 0.01011227 0.00617439 0.0080243
 0.00844948 0.00862445 0.00844536 0.00867408 0.0070877  0.00750821
 0.00907698 0.00773161 0.0082872 ]"
23.593522719864183,"[0.68472198 0.72125231 0.75504862 0.72335457 0.7577605  0.75275268
 0.76748679 0.74240775 0.72691122 0.72732813 0.69452347 0.68409719
 0.66115674 0.63215433 0.60412018 0.58179563 0.56067176 0.54799211
 0.53671207 0.53369522 0.54236723 0.49793655 0.50680094 0.49963444
 0.52203943 0.51347672 0.49204952 0.51738138 0.51357149 0.47810697
 0.46210713 0.43750081 0.3979462  0.38150775 0.35662532 0.33088911
 0.31451687 0.28257876 0.27339902 0.24294599 0.23210787 0.20236645
 0.18860849 0.15688317 0.14029604 0.12267471 0.10275301 0.09394916
 0.07978155 0.06310113 0.05051965 0.04532938 0.03025197 0.02445459
 0.01609354 0.01227115 0.01125873 0.00829959 0.01145744 0.01008587
 0.00785327 0.00857718 0.00732323 0.00799061 0.00793024 0.00883229
 0.00864919 0.00797459 0.0087256  0.00866968 0.00776126 0.00852809
 0.00912582 0.00999956 0.00985364 0.0085028  0.00597017 0.00916452
 0.0086476  0.00815744 0.01023515 0.00756766 0.00712248 0.00908972
 0.00991667 0.00820574 0.00757906 0.00839533 0.00706063 0.00830898
 0.00657844 0.00875237 0.00775974 0.00908226 0.00812109 0.00816163
 0.01064901 0.00806641 0.00919105 0.01042092 0.00776293 0.0066997
 0.00702071 0.01022402 0.00761379]"
